,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,defaultPayment
3474,2,2,1,22,0,0,0,0,0,0,16534,17694,2002,1553,1002,2002,1000,542,0
3475,1,2,2,28,0,0,0,0,0,0,17973,17480,1318,1278,635,802,350,0,0
3476,1,2,2,40,0,0,0,0,0,0,14633,17391,1218,1254,3000,617,621,643,1
3477,2,3,2,29,0,0,0,0,-2,-2,143568,-4394,7951,6890,0,0,0,0,0
3478,2,1,2,36,-1,-1,-1,-1,-1,-1,10935,31022,4081,4283,3338,1224,31022,1088,0
3479,2,2,2,27,0,0,0,0,0,-1,222705,86703,5011,5217,5000,5340,94762,5026,0
3480,1,1,2,27,-1,-1,-1,0,0,-1,630,630,825,1890,0,0,630,1030,0
3481,2,1,2,23,2,2,2,0,0,0,19827,23683,1500,1000,1000,2000,1000,894,1
3482,2,1,2,28,-1,-1,-2,-1,-1,-2,3752,0,2730,500,2727,712,0,0,0
3483,1,1,1,29,0,0,0,0,0,0,48310,13191,2300,1400,335,342,4000,200,1
3484,1,2,2,27,0,0,0,0,0,0,99668,79494,4850,3740,2798,2865,3020,2377,0
3485,2,3,1,42,2,2,2,0,0,2,44961,42743,4000,0,3000,3228,0,4000,1
3486,2,2,2,25,-1,-1,-1,0,0,0,390,33104,780,36659,5000,5000,7000,5000,0
3487,2,1,2,27,-1,-1,-1,-1,-1,-1,157,507,157,157,157,307,507,357,0
3488,2,1,1,30,0,0,0,0,0,2,28289,23782,2013,1440,800,1800,108,1130,0
3489,1,1,2,28,0,0,0,0,0,0,31170,1612,2005,1206,1000,600,500,1000,0
3490,1,1,1,45,-1,-1,-1,-1,-1,-1,1473,44314,1473,24770,3366,1473,44314,4000,1
3491,2,1,2,30,0,0,0,0,0,-1,72546,14069,5206,30176,10258,14000,15070,6029,0
3492,1,2,1,45,0,0,0,0,0,0,200378,147373,6061,7048,5016,10294,5136,5225,0
3493,2,2,2,24,0,0,0,0,0,-1,11296,1087,1400,1000,0,1000,1087,801,0
3494,2,2,2,25,2,2,2,0,0,0,98499,49545,5000,0,3900,1801,1800,2000,0
3495,2,3,1,59,1,-1,0,-1,-1,-1,0,35920,7240,1000,1558,12079,35920,0,0
3496,2,1,2,23,0,0,0,0,0,0,50025,18137,1626,1581,1000,900,700,1000,0
3497,1,2,1,37,-1,-1,-1,0,0,0,2208,500,5665,35000,8877,500,0,21257,0
3498,1,1,2,28,0,-1,0,0,-1,2,2295,160,6000,10000,900,310,0,3400,0
3499,2,2,1,34,-2,-2,-2,-2,-2,-2,8214,0,2151,3065,750,0,0,377,1
3500,2,3,1,56,2,2,2,2,2,2,17643,21170,1500,0,3000,1500,0,1900,1
3501,2,3,1,40,0,0,0,0,0,0,54408,73346,5000,5000,5000,5000,5000,5000,0
3502,2,2,2,30,0,0,0,0,0,0,132250,147418,5000,5000,5000,5000,5000,5000,0
3503,2,1,2,26,-1,0,0,0,-2,-2,5310,0,29000,1000,0,0,0,0,1
3504,1,1,1,50,-1,-1,-1,-1,-1,-1,316,316,316,316,5772,316,316,5174,0
3505,2,1,2,27,-1,0,0,-2,-2,-2,30585,0,6000,0,0,0,0,0,0
3506,1,3,2,26,-1,-1,-1,-1,-1,-1,8355,8355,8355,8355,8355,8355,8355,8285,0
3507,2,2,1,36,0,0,0,0,0,0,44510,28783,3000,3000,3000,2000,2000,5000,0
3508,2,1,2,33,-1,2,2,-1,-1,-1,970,0,1303,3,5387,1814,0,0,0
3509,2,2,2,27,2,2,2,2,0,0,47760,43020,0,3400,0,1528,3038,0,1
3510,1,2,2,24,0,0,0,0,0,0,19839,20437,1328,1315,703,723,1050,668,0
3511,1,1,2,29,-2,-2,-1,0,0,0,26430,103884,1249,279048,10758,5000,5080,2515,0
3512,2,1,2,28,2,2,2,2,2,2,43662,46536,0,3628,0,3600,0,4000,1
3513,2,2,1,41,0,0,0,0,0,-1,6017,4513,3000,1500,0,0,4513,0,0
3514,2,2,2,25,0,0,0,0,0,0,71559,61314,2500,3000,3000,3000,3000,3000,0
3515,1,2,2,29,-1,-1,-1,-1,-2,-2,487,0,487,2010,0,0,0,299,0
3516,2,2,2,33,0,0,0,0,0,0,110786,105624,6555,6000,3272,15874,4182,15694,0
3517,2,1,2,36,1,-2,-1,-1,-2,-2,-44,0,10267,200,0,0,0,0,0
3518,1,1,1,34,-1,-1,-1,-1,-1,-1,997,256,1270,3946,2444,2805,258,1,0
3519,2,2,1,34,0,0,0,0,0,0,383973,347188,15000,20000,20000,12000,12000,13000,0
3520,1,1,1,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,4003,0
3521,1,2,1,37,0,-1,0,0,0,0,34661,57532,5334,50006,9460,9461,2507,10007,0
3522,1,1,2,33,0,0,0,0,0,0,17094,7561,2000,3000,1000,1000,1000,2115,0
3523,2,2,1,30,-2,-2,-2,-2,-2,-2,0,600,0,441,653,500,600,751,0
3524,1,2,1,39,0,0,0,0,0,0,54282,39799,2128,1608,1391,1410,1580,1548,0
3525,1,1,2,28,0,-1,-1,0,-1,-1,3234,-51183,4340,5491,2013,1510,18,89898,0
3526,1,2,1,42,0,0,0,0,0,0,70293,67273,3300,2600,2600,3000,2600,2600,0
3527,2,2,1,50,1,2,2,2,3,2,7973,10046,2000,0,1600,0,0,1500,0
3528,2,2,1,24,0,0,0,0,0,0,68963,48671,3000,2700,2000,1900,1700,1794,0
3529,1,1,2,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3530,2,3,1,24,-1,-1,-1,-1,-1,-2,440,0,500,470,470,0,0,0,0
3531,2,3,2,41,-1,2,2,0,0,0,26736,30624,3000,0,1200,1200,1500,2000,0
3532,2,2,2,27,0,0,0,0,0,0,163418,164031,6200,7600,6100,5900,6300,7500,0
3533,1,2,2,26,-1,0,0,-1,-1,-1,296,936,1003,0,501,0,936,1002,1
3534,2,3,1,40,0,0,0,0,0,0,48923,42934,2084,1973,1708,1728,1621,1359,0
3535,1,1,1,35,0,0,2,2,2,2,15952,19254,3100,1000,0,1600,0,800,1
3536,1,2,2,23,2,0,0,0,0,0,8613,19103,4000,3000,1000,2000,2000,2836,0
3537,2,2,1,28,5,6,5,4,3,2,216435,210491,8355,1000,0,0,6800,97,1
3538,2,1,1,39,-2,-2,-2,-2,-2,-2,5912,3172,3786,1451,2424,2050,3187,1972,1
3539,1,3,1,45,2,2,2,3,5,4,25161,29158,0,5000,3300,0,0,0,1
3540,2,2,1,40,1,2,2,-1,0,-1,4535,150,0,0,10644,0,150,780,1
3541,1,2,2,39,0,0,0,0,0,0,55084,49979,3012,2100,2001,2001,2000,1782,0
3542,2,2,2,31,0,0,-1,-1,-1,-2,5526,0,1032,2938,6039,0,0,0,0
3543,1,1,1,41,0,0,0,0,0,0,19853,38615,3000,3000,5000,5000,5000,3000,0
3544,2,1,2,25,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
3545,1,2,1,39,0,0,0,0,0,0,20612,24821,1676,2000,1220,1100,1000,1100,0
3546,2,2,2,23,0,0,0,0,0,0,59555,53557,2812,2599,2143,2208,2112,5000,0
3547,1,3,1,28,0,0,0,0,0,0,191305,97411,3899,3913,3186,3301,3525,3095,0
3548,2,2,1,37,1,2,2,0,0,0,19911,20655,1500,0,500,650,600,0,1
3549,1,2,1,28,0,0,-1,-1,-1,-1,20914,2113,10087,2522,7951,14493,2120,3027,0
3550,1,2,1,31,3,2,-1,0,0,-1,2000,1150,0,3000,0,0,1150,0,1
3551,1,1,1,46,-1,-1,-1,-1,-1,-1,3580,31453,18785,10742,37171,6192,31453,12333,0
3552,2,2,1,36,2,0,0,0,0,-1,47357,11361,3000,3266,600,1672,20000,1000,0
3553,2,1,2,27,0,0,-1,-1,0,0,32228,65070,8040,4235,87230,3000,10000,4317,0
3554,2,2,1,35,0,0,2,0,0,2,75530,80752,7000,0,3000,4000,5000,0,0
3555,1,1,1,35,0,0,0,0,0,0,45124,53433,1730,1722,3214,2119,5064,0,0
3556,1,1,2,29,-2,-2,-1,0,0,0,1073,5646,3206,10696,1291,3877,11077,700,0
3557,2,3,1,53,0,0,0,0,0,0,87235,49519,4000,2602,2000,3000,2000,5000,0
3558,2,2,2,23,-2,-2,-2,-2,-2,-2,1082,0,2731,757,876,3551,0,13460,0
3559,2,1,2,33,-1,-1,-1,-1,0,0,165,0,145,0,631,0,0,165,0
3560,1,3,1,57,2,2,2,2,2,2,7431,10749,2600,350,0,1100,500,1300,1
3561,1,2,2,33,2,2,2,2,2,2,62011,67893,3000,2500,2600,2600,2500,2800,1
3562,2,2,1,42,0,0,-2,-2,-2,-2,30900,0,0,0,0,0,0,0,1
3563,2,2,2,24,2,2,2,0,0,0,124457,66762,6600,0,2915,3154,2977,90000,1
3564,2,2,1,46,-1,-1,-1,0,-1,-1,2350,2350,2350,4700,0,2350,2350,350,0
3565,1,1,2,27,-1,-1,-1,0,-1,-1,832,416,0,825,0,528,416,1059,1
3566,1,2,1,39,0,0,0,0,0,0,398380,279768,20091,25370,15203,12013,12013,10135,0
3567,1,1,1,39,1,2,2,2,2,0,276758,203223,12000,10000,8300,0,8006,6270,0
3568,1,1,2,27,-1,3,2,0,0,-1,4168,3047,0,0,1980,0,3047,0,1
3569,2,1,2,39,0,0,0,0,0,0,126082,110138,6216,4371,4037,6613,4055,3575,0
3570,2,1,2,35,0,0,0,0,0,0,66376,67219,5000,4000,5000,3000,2700,3000,0
3571,1,3,1,37,0,0,0,0,0,0,181295,170136,8019,8008,6700,6800,6324,6120,0
3572,2,2,1,24,1,2,0,0,2,2,18817,19863,0,1720,1754,893,0,400,0
3573,1,1,2,24,0,0,2,0,0,0,7680,9700,2616,0,400,499,500,900,1
3574,2,1,1,45,0,0,0,0,0,0,81133,81165,3502,3000,4000,3100,3000,3000,0
3575,1,3,2,28,2,2,2,2,2,2,53567,49529,6950,3250,1767,0,3654,0,0
3576,2,1,2,37,-1,-1,-1,-1,0,0,4168,-38,19169,22893,53198,0,0,12000,0
3577,1,3,2,42,-1,-1,2,2,2,-1,550,550,1974,0,700,0,550,1100,1
3578,2,1,2,28,1,-1,-1,-1,-1,-2,0,0,420,0,742,0,0,198,0
3579,2,3,1,56,0,0,2,2,2,0,7324,9974,2609,0,830,0,400,500,0
3580,1,1,1,54,-1,-1,-1,-1,-1,-1,206,366,555,0,718,468,366,0,1
3581,1,2,1,48,0,0,0,-1,-1,-1,8439,890,1188,2000,1230,390,890,215,0
3582,2,2,1,32,0,0,-2,-2,-2,-2,39936,0,8666,16998,17504,0,0,0,0
3583,1,3,1,51,2,2,2,2,0,0,3577,7680,2500,300,0,300,1774,284,1
3584,2,3,1,28,0,0,0,0,0,0,25184,24767,5000,3011,5000,5000,3000,5000,0
3585,2,2,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3586,2,1,1,31,1,-2,-1,-1,0,0,0,0,0,638,225,0,0,0,0
3587,1,2,1,38,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,1451,0
3588,2,1,1,40,-2,-2,-2,-2,-2,-2,14472,0,680,0,0,0,0,0,0
3589,2,2,2,26,3,2,2,2,2,2,49201,52333,0,5100,2000,2000,0,4046,1
3590,1,2,1,47,0,0,0,0,0,0,15166,18750,1257,1267,588,1500,1500,0,0
3591,1,1,2,31,-2,-2,-2,-2,-2,-2,4935,1640,3796,5227,2293,4739,1640,3012,0
3592,2,3,3,51,2,0,0,0,0,2,18355,20192,1600,1500,900,3600,393,0,1
3593,1,1,1,28,2,2,2,0,0,0,56272,66897,4000,2400,3000,3000,5100,0,0
3594,2,2,1,42,0,0,0,0,0,0,506787,422271,21000,17414,12000,30000,18000,11000,1
3595,1,3,2,66,0,0,0,0,0,0,209396,143721,6510,6450,5103,5500,5307,5011,0
3596,1,2,2,27,2,0,0,0,0,0,76896,58515,3613,3100,2000,2100,2200,2041,1
3597,2,2,1,37,2,2,2,0,0,0,40994,13497,5500,0,580,600,600,600,0
3598,1,1,1,35,1,-1,-1,0,0,0,0,7574,11901,5758,0,150,7424,0,0
3599,2,2,2,23,-2,-2,-2,-2,-1,2,198,5706,4848,1282,4854,10251,0,7328,0
3600,2,2,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3601,2,2,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
3602,2,4,1,29,0,0,0,0,0,0,70069,69917,3000,2386,2553,2483,2657,3000,0
3603,1,1,2,35,1,-1,-1,-1,-1,-1,-453,735,2336,1215,6461,2567,1470,11605,0
3604,2,2,1,34,-1,0,0,0,0,0,50523,47077,1763,2500,2000,2000,2000,2100,0
3605,2,2,2,31,1,2,0,0,2,3,27254,30468,0,1772,2600,2200,0,0,1
3606,1,1,1,57,0,0,0,0,0,0,83852,60805,3477,4100,2022,2100,2156,1740,0
3607,1,1,1,59,0,0,0,2,2,2,27119,31914,1700,3000,0,2500,1200,0,0
3608,1,1,2,35,0,0,0,0,0,0,211775,201955,9883,6000,6194,30364,100018,4817,0
3609,1,1,2,32,0,0,0,0,0,-1,53340,10032,69220,3095,5000,2000,10058,23219,0
3610,2,1,2,28,0,0,0,0,0,0,204191,142976,9000,9007,5254,6000,5500,5000,0
3611,2,2,1,41,-1,-1,-1,-1,-1,-1,24433,33272,187206,10909,29161,28238,33272,175357,0
3612,2,2,2,27,0,0,0,0,2,2,72991,75294,3320,2800,6400,2870,0,3150,0
3613,1,3,2,38,0,0,0,0,-1,-1,11805,8900,1400,1023,0,12469,598,1,1
3614,1,3,2,32,1,-1,0,0,0,0,3706,61096,40093,30000,10000,10030,5000,5000,0
3615,1,3,1,39,0,0,0,0,0,0,475934,136559,59324,6093,5411,6025,5000,3617,0
3616,1,1,2,29,0,0,0,0,0,0,10208,5720,1500,1000,4000,500,2500,0,0
3617,2,3,1,46,-2,-2,-2,-2,-2,-2,14315,17682,7097,6548,8976,909,17682,12710,0
3618,1,3,1,41,-1,-1,2,0,0,-1,390,69438,1732,0,0,0,69438,3750,1
3619,2,1,1,33,-2,-2,-2,-2,-2,-2,16414,-8026,693,0,1144,4279,0,0,1
3620,2,1,2,35,-1,-1,-1,0,0,-1,3299,2075,599,982,1007,5,2075,2669,0
3621,2,2,1,36,0,0,0,0,0,0,54717,51616,2017,1900,1900,1925,1845,1886,0
3622,1,1,1,55,0,0,0,0,0,0,18135,0,2000,4000,2000,3000,0,0,0
3623,1,1,2,36,0,0,0,0,0,0,210463,22634,5187,2043,1552,2013,3002,3003,1
3624,2,2,1,48,-1,-1,-1,-1,-1,-1,31386,0,31401,1369,15010,3280,0,3357,0
3625,1,2,1,50,1,-1,-1,-1,-1,-1,-13,995,2763,0,5371,16648,1000,997,1
3626,1,2,2,37,0,0,0,0,0,0,50701,19493,2202,2083,697,711,717,674,0
3627,1,3,2,27,0,0,0,0,0,0,47163,24772,1821,3600,1000,1000,1000,1000,0
3628,1,2,1,35,0,0,0,0,0,0,39229,46143,2000,2000,2000,2000,2000,2000,0
3629,1,3,1,38,0,0,0,0,0,0,40538,52533,1988,18000,1857,1723,2075,1500,0
3630,2,2,2,22,0,-1,-1,-1,-1,-2,3158,3247,5572,3321,3154,3031,3339,2921,0
3631,2,1,2,35,0,0,0,0,0,0,20556,39004,9581,30000,1590,1472,1317,1314,0
3632,1,2,1,64,0,0,0,0,0,-1,48369,18055,2384,5461,2872,1093,19055,2239,0
3633,2,3,2,25,1,2,0,0,0,0,72874,55304,0,2000,1892,1979,2226,23011,1
3634,2,2,1,28,0,0,0,-1,-1,-1,71983,3333,4000,7000,3600,3333,3333,3110,0
3635,2,2,1,30,0,0,0,0,0,0,62599,42812,5000,5000,5000,5000,5240,5000,0
3636,1,3,2,30,0,0,0,0,2,0,6615,9188,1135,1144,797,0,329,490,0
3637,1,2,1,34,0,0,0,0,0,0,17179,15033,1300,1500,1415,4000,1000,1000,1
3638,2,2,1,34,0,0,0,0,0,0,132541,137094,7000,7000,5300,5300,10100,5400,0
3639,2,2,1,35,0,0,0,0,0,0,106229,45498,3000,1707,1551,1607,2000,2000,0
3640,1,3,2,41,2,2,2,2,3,2,29368,31914,0,3500,2589,0,0,1332,0
3641,1,1,2,37,-1,0,0,0,-1,-1,27181,5208,7254,2208,11,6402,5234,2899,0
3642,1,2,1,35,0,0,0,0,0,0,78507,29665,3085,2969,1007,1042,1200,1501,0
3643,2,2,1,34,-1,-1,-1,-1,-1,-1,51565,2728,15683,1381,3300,2452,2728,0,1
3644,1,2,1,34,2,0,0,0,0,2,27358,29102,1750,1800,1118,2100,1100,0,0
3645,1,2,2,26,0,0,0,0,0,0,161766,187951,7000,6500,6183,6640,14000,0,0
3646,1,3,1,41,-2,-2,-2,-2,-2,-2,10804,35433,34415,14565,7229,12806,35433,11405,0
3647,1,2,1,32,-1,-1,-1,-1,0,0,6443,34755,451,0,29811,20000,2386,462,0
3648,2,2,1,36,0,0,-1,2,-1,2,52689,771,0,150,0,921,0,51362,0
3649,1,3,2,44,-1,2,-1,-1,-1,-1,780,0,0,390,390,390,0,780,0
3650,2,2,1,34,0,0,0,0,0,0,82691,62032,3500,3200,2500,2400,2500,2500,0
3651,1,2,1,44,0,0,0,0,0,0,111188,108305,6010,5507,4500,4502,4200,4500,0
3652,2,2,1,26,0,0,0,0,0,0,186248,7340,18000,5044,6506,500,500,2000,0
3653,1,3,1,51,0,0,0,0,0,0,93970,40514,3799,3269,3407,5024,5056,5135,0
3654,1,2,1,37,0,0,-1,-1,0,0,43311,29065,5377,9383,6295,10018,21939,5002,0
3655,2,3,2,30,-1,-1,-1,-1,-1,-1,1264,2784,6894,2917,0,2784,5568,1714,0
3656,2,2,2,25,2,2,2,2,2,0,111483,107423,5900,3500,3400,0,4000,4000,0
3657,2,2,1,31,0,0,0,0,0,0,104014,126913,5500,4005,3241,15500,4000,3568,0
3658,2,2,2,35,-1,-1,-1,-1,-1,0,15288,4689,4194,1300,0,4689,0,1582,0
3659,2,2,1,28,0,0,0,0,0,0,53542,16038,36000,1222,7510,491,6600,0,0
3660,2,1,2,27,0,0,0,0,0,0,73798,42998,4794,5560,2426,3521,1641,913,0
3661,1,2,2,30,0,0,-1,0,0,0,1485,829,0,11979,206,10,4,11591,0
3662,2,2,2,31,-1,-1,-1,-1,-1,0,326,79695,326,326,326,76465,5000,5000,0
3663,2,2,2,24,2,2,3,3,3,3,1050,1050,0,0,0,0,0,0,1
3664,2,3,2,29,1,2,2,2,2,-1,6467,16391,1114,0,1000,0,16391,832,0
3665,2,2,1,28,0,0,0,0,0,0,36428,16084,6000,5000,1000,4000,5000,8000,0
3666,1,1,2,31,0,0,0,0,0,0,381453,178599,15024,30002,15052,10507,25001,25082,0
3667,2,4,1,35,0,0,0,0,0,-2,29197,0,2000,1400,639,0,0,0,0
3668,2,3,1,37,1,2,2,-1,-1,-1,5975,2881,1905,5,1527,2569,2889,2074,0
3669,2,1,2,36,-1,-1,-1,-1,-1,-1,7740,12319,1445,782,790,849,12319,7575,0
3670,2,2,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3671,2,2,2,26,0,-1,0,0,0,-1,509,4822,525,3519,2201,2203,8389,8048,0
3672,2,1,2,26,-1,-1,-2,-2,-2,-2,26273,-73,0,0,0,0,0,0,1
3673,1,3,1,47,2,2,2,2,2,0,14328,17528,3114,800,770,0,776,549,1
3674,2,1,2,33,-1,-1,-1,-1,0,0,27042,0,0,188,16476,0,0,0,0
3675,2,2,1,25,0,0,0,0,0,2,6991,9703,1126,1136,316,833,100,292,0
3676,1,1,2,26,-1,-1,-1,-1,0,0,360,22377,360,360,16133,7000,796,819,0
3677,1,3,1,37,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,780,0
3678,2,2,2,42,0,0,0,0,0,-2,16959,-150,1235,1369,825,0,0,0,0
3679,2,1,2,29,-1,-1,0,0,0,-1,13194,1738,9403,10007,184,170,1738,5256,0
3680,1,1,2,36,0,0,0,0,0,0,9934,0,1000,1000,200,0,0,0,0
3681,2,2,1,30,2,0,0,0,0,0,332721,130328,10896,8123,7522,7003,4700,5000,1
3682,2,2,2,23,0,0,0,0,-1,2,16641,19417,1602,1268,0,21451,0,652,0
3683,1,2,2,32,0,0,0,0,-2,-2,50342,0,8025,5023,0,0,5250,0,0
3684,2,2,1,26,0,0,0,0,0,0,129996,49667,7000,5000,2000,2000,2000,2000,0
3685,1,1,2,32,-1,-1,-1,-1,-1,-1,11494,10756,9139,5481,27110,29889,10809,2648,0
3686,1,2,1,28,2,2,2,2,2,0,65499,60345,0,5000,3200,7,2309,3862,0
3687,2,2,2,23,0,0,0,0,0,0,12630,12980,1211,1202,452,460,504,394,1
3688,2,2,2,27,1,2,0,0,0,0,297192,145132,0,11143,7300,6024,6000,3500,0
3689,1,2,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3690,1,1,2,29,1,-1,-1,-1,-1,-1,0,6071,100000,0,7632,0,6071,0,0
3691,1,1,2,39,-2,-2,-2,-2,-2,-2,12106,16070,13351,18997,50933,24652,18060,3306,0
3692,1,2,2,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
3693,1,1,2,29,-1,0,0,2,0,0,20258,28073,3000,0,2000,3000,2000,1500,0
3694,1,2,2,27,2,0,0,0,0,0,62824,79105,2178,2674,2200,14710,8000,3005,1
3695,2,2,1,44,0,0,2,0,0,0,43596,30778,5000,0,2500,1500,2000,1000,0
3696,2,2,2,23,0,0,0,0,0,0,13717,6915,2008,1106,1000,1000,1000,1000,0
3697,1,1,2,33,-1,2,-1,-1,-1,-1,1532,447,0,1430,810,786,447,2215,0
3698,1,2,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
3699,2,2,1,32,0,0,0,0,0,0,49547,19918,2100,2097,1289,712,713,1000,0
3700,2,1,3,48,0,0,-1,-1,-2,-2,83400,4775,1600,4990,13616,1310,4789,1345,0
3701,2,1,2,29,-2,-2,-2,-2,-2,-2,9344,3664,723,723,1038,2035,3664,723,0
3702,1,1,2,29,1,-1,-1,-1,-2,-2,-54,0,36710,5114,0,0,0,0,0
3703,2,2,1,46,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,780,0
3704,2,1,3,22,0,0,0,0,0,-2,14993,0,1800,2800,0,0,1900,0,1
3705,2,3,2,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3706,1,2,1,30,0,0,0,0,0,0,107372,61445,5000,5000,3000,5000,6000,3000,0
3707,2,1,2,27,0,0,0,0,0,0,143536,83974,5341,4000,3500,3000,13000,2300,0
3708,2,1,2,31,0,0,0,0,0,0,32608,78169,20018,6028,25030,20023,20000,10000,0
3709,2,2,2,29,0,0,0,0,-2,-2,47411,0,1300,1210,0,0,0,0,1
3710,2,4,1,39,0,0,0,0,0,0,84484,83683,3007,2804,2802,2901,5000,80000,0
3711,2,2,1,39,0,0,0,0,0,0,212943,202491,16923,7714,7283,7407,10000,6000,0
3712,2,2,1,36,1,-2,-2,-2,-1,2,0,832,0,0,0,982,0,1500,0
3713,2,2,1,38,1,2,0,0,2,0,12893,19053,0,3000,2000,0,3000,2000,0
3714,1,2,1,41,0,0,0,-2,-2,-2,29866,0,1900,0,0,0,0,0,0
3715,2,3,2,27,2,2,2,3,2,0,150739,154034,7000,7000,2300,0,5600,4500,0
3716,2,2,2,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
3717,2,1,2,29,1,-2,-2,-2,-2,-1,0,4443,0,0,0,0,4443,890,0
3718,2,2,1,47,0,-1,-1,-1,-1,0,1343,18212,1547,1539,1066,18660,771,1000,0
3719,1,2,2,30,-1,-1,2,2,-1,-1,780,1320,780,0,0,390,1320,0,0
3720,2,2,1,46,1,-2,-2,-2,-2,-1,0,650,0,0,0,0,650,0,1
3721,1,1,2,29,0,0,2,0,0,0,24802,8411,3200,0,1000,1000,2000,0,0
3722,1,1,2,31,0,-1,-1,0,0,0,19824,1011,5000,19037,0,14000,0,3949,0
3723,2,3,2,23,2,0,0,0,0,0,37350,44199,3000,2000,2000,1800,2000,2000,1
3724,2,2,2,29,-2,-2,-2,-2,-2,-2,5520,0,0,0,0,0,0,0,0
3725,1,3,2,53,2,2,-2,-2,-1,-1,19369,9871,3900,3179,773,9832,10084,4380,0
3726,2,1,1,38,-1,-1,-1,-1,-1,-1,532,326,1106,771,625,1099,326,326,0
3727,2,2,2,24,-1,-1,-1,-1,-1,-1,889,1271,1742,1077,902,1077,1271,1595,0
3728,2,2,2,28,1,2,0,0,0,2,112597,111219,0,4000,4000,8500,0,4000,1
3729,1,1,2,33,-1,-1,-2,-2,-2,-2,100,0,0,0,0,0,0,0,0
3730,2,3,1,52,2,0,0,-1,0,0,82198,40103,3543,1139,40003,2000,2100,24,0
3731,1,2,1,36,-2,-2,-2,-2,-2,-2,41116,8477,5071,3041,3096,3845,212,3,0
3732,2,2,1,43,-1,-1,-1,-1,-1,0,21293,40325,70973,9226,1845,41194,2920,1374,0
3733,2,2,1,43,-1,-1,-1,-2,-1,-1,72495,83208,99664,74640,63758,85072,83215,124063,0
3734,1,2,2,47,0,0,0,0,0,0,29554,15145,1895,1539,1089,718,400,5000,0
3735,1,2,2,33,1,2,0,0,0,0,19073,54093,3895,50000,2000,2000,2344,1235,0
3736,2,1,2,31,-2,-2,-1,0,0,0,10226,56360,5873,52983,35002,10203,7500,10000,0
3737,1,1,1,44,0,0,0,0,0,0,350110,311651,14082,15023,15098,10008,15045,20164,0
3738,2,3,1,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
3739,2,1,1,37,0,0,-1,-1,-1,-2,26416,0,2497,16047,18776,0,0,0,0
3740,1,1,2,28,0,0,0,0,0,0,89418,52272,4000,2338,2000,2018,2000,1700,0
3741,1,2,1,47,1,2,2,3,2,0,37611,40322,0,4898,0,0,1800,3000,0
3742,2,1,1,34,-1,0,0,0,0,0,11584,11170,7011,3000,0,123,5000,0,1
3743,1,2,1,45,2,2,2,2,2,0,33547,20650,4000,0,2000,0,1200,0,0
3744,2,1,2,26,-2,-2,-1,0,0,0,10415,88388,5771,120055,5073,3508,3707,3016,0
3745,1,1,1,39,-1,-1,-1,-1,-2,-2,1757,1235,3579,2262,2830,1682,1235,1280,0
3746,1,3,1,39,-1,-1,-1,-1,-1,-2,1976,0,3318,0,800,3576,0,0,0
3747,1,1,1,43,-1,-1,-1,-1,-1,-1,1144,6595,2506,3380,1085,2394,6601,29708,0
3748,1,2,2,32,0,0,0,0,0,-1,81115,32763,5000,1200,0,5000,37000,3000,0
3749,2,2,2,27,0,0,0,0,0,0,18776,21951,3000,2000,778,811,2000,2865,0
3750,2,2,1,37,-1,0,0,0,0,0,1428,7246,1500,1500,1500,1000,1000,1000,1
3751,2,1,2,29,-1,-1,-1,-1,-2,-2,1010,0,3394,307,0,0,0,0,0
3752,2,1,1,31,-2,-2,-2,-1,0,-1,-5,7511,0,0,4237,16,7548,4105,0
3753,2,2,1,37,-1,-1,-1,-1,2,-1,316,316,586,5842,8956,0,316,316,0
3754,2,1,1,41,-1,-1,-1,-1,-1,-1,57956,54284,15987,36607,8243,14494,54284,6702,0
3755,1,1,2,36,-2,-2,-2,-2,-2,-2,0,763,0,0,0,8867,763,748,0
3756,1,1,2,26,0,0,0,0,0,0,18338,23436,2000,2000,1000,1000,1000,1500,0
3757,2,1,2,27,1,-2,-2,-2,-2,-2,-200,-200,0,0,0,0,0,0,1
3758,1,3,1,27,0,0,0,-1,0,0,22381,3432,1500,3000,6157,1500,138,59,1
